year,month,mp1_tc,ff4_tc,ed2_tc,ed3_tc,ed4_tc
1996,3,0.0019355,0.0019336,0.0019355,0.003871,0.0019355
1996,4,0.0080645,0.0080564,0.0080645,0.016129,0.0080645
1996,5,-3.58E-06,0,0.0070968,0.0035484,0.0070968
1996,6,-6.44E-06,0,0.0129032,0.0064516,0.0129032
1996,7,-0.0673268,-0.0280645,-0.0187097,-0.0093548,-0.0093548
1996,8,-0.0155555,-0.0019355,-0.0012903,0.0070968,0.0032258
1996,9,-0.0452777,-0.0303333,-0.0209999,-0.0040753,-0.0125376
1996,10,-0.0920001,-0.0996667,-0.069,-0.0536666,-0.0613334
1996,11,-0.0105898,-0.006,-0.006,-0.0120001,-0.018
1996,12,-0.0017035,-0.0088387,-0.0039999,-0.008,-0.0168387
1997,1,0.0057135,-0.0051613,0,0,-0.0051613
1997,2,-0.0313029,0,0.0085714,0.0171429,0.0257143
1997,3,0.0038152,0.0090322,0.0161061,0.0197927,0.0189631
1997,4,0.0309677,0.0309677,0.0503225,0.0580645,0.0503227
1997,5,-0.038187,-0.0348387,-0.0270967,-0.0212903,-0.0193548
1997,6,-0.060463,-0.0551615,-0.0429034,-0.0337096,-0.0306453
1997,7,-0.0206902,-0.0193548,0,0,0
1997,8,-0.000694,0.0035484,0.0041935,0.0062903,0.0062903
1997,9,-5.72E-06,0.0058064,0.00564,0.008543,0.0088764
1997,10,0,0,-0.0048335,-0.0048333,0.0048333
1997,11,-0.0263848,0,-0.0190001,-0.0189999,-0.0221667
1997,12,-0.0152752,-0.0051613,-0.0135806,-0.0161614,-0.0179946
1998,1,0,-0.0048387,-0.0024195,-0.0048387,-0.0048387
1998,2,0,0,0.0133929,0.0178572,0.0223215
1998,3,-0.0003226,0,0.0016072,0.0023042,0.0026785
1998,4,-0.0096774,0,0,0.0048387,0
1998,5,-0.0108361,-0.0041935,-0.0062904,-0.0062903,-0.0062903
1998,6,-0.0150039,-0.0058064,-0.0087097,-0.0087097,-0.0087097
1998,7,-0.0051599,0.00999,0,0.005,0.005
1998,8,0.0053878,0.0045161,-0.0022581,0,-0.0022581
1998,9,0.0098755,0.0101504,-0.0024085,0.0006666,-0.0017419
1998,10,-0.0861473,-0.0717633,-0.1379142,-0.1414732,-0.1368065
1998,11,-0.1416833,-0.1129031,-0.1314192,-0.1218603,-0.1288602
1998,12,-0.0369227,0,-0.0176129,0.0010538,-0.0053333
1999,1,0,0,-0.003387,-0.0033871,0
1999,2,0.0051999,0,0.0139284,0.0092857,0.0046428
1999,3,-0.0002451,-0.0012903,-0.0005414,-0.0008986,-0.0019009
1999,4,-0.0093548,-0.0187097,-0.023387,-0.0233871,-0.0327419
1999,5,-0.0053878,0.0180645,0.0541935,0.0654838,0.0745161
1999,6,-0.0075421,0.0196021,0.0626397,0.0760162,0.086484
1999,7,-0.029,-0.0676665,-0.0918334,-0.1014999,-0.1160001
1999,8,0.0090322,0.003871,0,-0.0012903,-0.0064516
1999,9,0.0259676,0.0111289,0,-0.0037097,-0.0185484
1999,10,-0.0363455,0.0348387,0.0653226,0.0870967,0.0870968
1999,11,0.0321207,0.0351663,0.0496774,0.0504032,0.0429032
1999,12,0.0430083,0.0282309,0.0559678,0.0499194,0.0477419
2000,1,0.0100064,-0.0032258,0.0290322,0.0225806,0.0322582
2000,2,-0.0570331,0.0048275,0,0.0048276,0.0241379
2000,3,-0.0185368,-0.0033724,-0.0017741,0.0019466,0.0026363
2000,4,-0.03,-0.0064452,-0.0032258,0.0032258,0.0032258
2000,5,0.0213315,0.0361292,0.0258064,0.0283872,0.0232258
2000,6,0.0174983,0.0323699,0.0221934,0.0236129,0.0182742
2000,7,-0.0224998,-0.013509,-0.0179999,-0.027,-0.0315
2000,8,-0.0055516,0.0016129,0.0048387,0.0096774,0.0096774
2000,9,-0.0116584,0.0033872,0.0101612,0.0203226,0.0203226
2000,10,0,0.023387,0.0374193,0.0467741,0.0608065
2000,11,-0.0053279,0.0016129,0.0105808,0.0085591,0.0041935
2000,12,0.0224199,-0.0020967,0.0153871,0.010957,0
2001,1,-0.3290555,-0.1422579,-0.1243548,-0.0859677,-0.0856452
2001,2,0.0085135,0.0193646,-0.0190322,-0.0403227,-0.0493548
2001,3,0.0272748,-0.0290322,-0.0251613,-0.0348387,-0.0348387
2001,4,-0.1463938,-0.2063012,-0.1785054,-0.2111613,-0.1786613
2001,5,-0.3010387,-0.2864408,-0.2553656,-0.2752904,-0.2519839
2001,6,-0.0297523,-0.0532258,-0.0523009,-0.0487096,-0.0665162
2001,7,0.0910001,0.0650001,0.0563333,0.0650001,0.052
2001,8,0.0054965,-0.0070968,-0.0141935,-0.0195162,-0.0159678
2001,9,0.0099933,-0.0129032,-0.0258067,-0.0354838,-0.0290322
